week_number,Origin,Total_Flights,Total_Duration_of_Flights,Max_Duration_of_Flights,Min_Duration_of_Flights,Median_Duration_of_Flights,Mean_Duration_of_Flights,Mean_Duration_of_Flights_pd,Highest_Traffic_Origin_Airport,Highest_Traffic_Destination_Airport,Most_Common_Flight_Path,Unique_Flight_Paths,Unique_Carriers,Count_of_Arrival_Delays,Mean_Arrival_Delays,Count_of_Departure_Delay,Mean_Departure_Delay,Total_Distance,Mean_Distance,Total_Cancelled_Flights,Count_Carrier_Delay,Mean_Carrier_Delay,Count_Weather_Delay,Mean_Weather_Delay,Count_NAS_Delay,Mean_NAS_Delay,Count_Security_Delay,Mean_Security_Delay,Count_Late_Aircraft_Delay,Mean_Late_Aircraft_Delay
40,GFK,12,705.0,68.0,52.0,58.5,58.75,58.75,GFK,MSP,GFK_MSP,4,1,12,4.666666666666667,12,-0.08333333333333333,4260.0,284.0,3,0,,0,,0,,0,,0,
40,GJT,26,1334.0,77.0,33.0,50.0,51.30769230769231,51.30769230769231,GJT,DEN,GJT_DEN,9,2,26,2.3076923076923075,26,0.9230769230769231,5910.0,227.30769230769232,0,0,,0,,0,,0,,0,
40,GNV,25,1481.0,72.0,51.0,60.0,59.24,59.24,GNV,ATL,GNV_ATL,7,2,25,-5.48,25,0.08,7745.0,297.88461538461536,1,0,,0,,0,,0,,0,
40,GPT,13,768.0,73.0,20.0,68.0,59.07692307692308,59.07692307692308,GPT,MEM,GPT_MEM,4,1,13,7.769230769230769,14,3.9285714285714284,3723.0,265.92857142857144,0,0,,0,,0,,0,,0,
40,GRB,26,1557.0,76.0,50.0,58.0,59.88461538461539,59.88461538461539,GRB,MSP,GRB_MSP,8,1,26,4.846153846153846,26,1.7692307692307692,6948.0,267.2307692307692,0,0,,0,,0,,0,,0,
40,GRR,116,6362.0,108.0,22.0,48.0,54.8448275862069,54.8448275862069,GRR,ORD,GRR_ORD,29,5,116,2.8017241379310347,117,2.034188034188034,26715.0,226.39830508474577,1,0,,0,,0,,0,,0,
40,GSO,226,13769.0,165.0,25.0,60.0,60.924778761061944,60.924778761061944,GSO,ATL,GSO_ATL,68,6,226,2.690265486725664,227,3.73568281938326,67283.0,291.26839826839824,4,0,,0,,0,,0,,0,
40,GSP,89,3890.0,108.0,22.0,42.0,43.70786516853933,43.70786516853933,GSP,ATL,GSP_ATL,26,5,89,-1.8089887640449438,90,2.3,17272.0,185.72043010752688,3,0,,0,,0,,0,,0,
40,GTF,47,2633.0,130.0,25.0,38.0,56.02127659574468,56.02127659574468,GTF,BIL,GTF_BIL,12,4,47,-2.404255319148936,47,-0.8936170212765957,15310.0,325.74468085106383,0,0,,0,,0,,0,,0,
40,GUM,23,2329.0,438.0,33.0,40.0,101.26086956521739,101.26086956521739,GUM,SPN,GUM_SPN,7,1,23,3.652173913043478,23,2.1739130434782608,16437.0,714.6521739130435,0,0,,0,,0,,0,,0,
40,HLN,12,706.0,77.0,33.0,66.0,58.833333333333336,58.833333333333336,HLN,SLC,HLN_SLC,3,1,12,2.8333333333333335,12,-0.3333333333333333,3852.0,321.0,0,0,,0,,0,,0,,0,
40,HNL,170,55560.0,590.0,38.0,311.0,326.8235294117647,326.8235294117647,HNL,LAX,HNL_LAX,39,6,170,11.7,170,3.735294117647059,460549.0,2709.1117647058823,0,0,,0,,0,,0,,0,
40,HOU,607,45330.0,224.0,16.0,54.0,74.67874794069193,74.67874794069193,HOU,DAL,HOU_DAL,181,8,607,-0.3970345963756178,609,3.766830870279146,263799.0,431.74959083469724,2,0,,0,,0,,0,,0,
40,HPN,32,2889.0,135.0,48.0,97.0,90.28125,90.28125,HPN,IAD,HPN_IAD,9,3,32,-2.3125,32,3.71875,14670.0,458.4375,0,0,,0,,0,,0,,0,
40,HRL,76,4672.0,91.0,39.0,58.0,61.473684210526315,61.473684210526315,HRL,HOU,HRL_HOU,23,3,76,-2.3552631578947367,76,0.32894736842105265,23753.0,312.5394736842105,0,0,,0,,0,,0,,0,
40,HSV,70,3172.0,115.0,21.0,42.0,45.31428571428572,45.31428571428572,HSV,['ATL' 'MEM'],['HSV_ATL' 'HSV_MEM'],20,4,70,-2.157142857142857,70,-0.18571428571428572,12555.0,179.35714285714286,0,0,,0,,0,,0,,0,
40,HTS,27,1178.0,62.0,21.0,43.0,43.629629629629626,43.629629629629626,HTS,CLT,HTS_CLT,7,2,27,2.5185185185185186,27,3.259259259259259,5424.0,200.88888888888889,0,0,,0,,0,,0,,0,
40,IAD,654,81547.0,354.0,26.0,103.0,124.68960244648318,124.68960244648318,IAD,['DEN' 'EWR'],['IAD_DEN' 'IAD_EWR'],182,9,654,1.9495412844036697,655,3.435114503816794,477462.0,721.2416918429003,7,0,,0,,0,,0,,0,
40,IAH,968,111986.0,275.0,18.0,112.0,115.68801652892562,115.68801652892562,IAH,DFW,IAH_DFW,255,10,968,-0.3047520661157025,972,4.13477366255144,717757.0,737.6742034943474,1,0,,0,,0,,0,,0,
40,ICT,154,12137.0,167.0,37.0,75.0,78.81168831168831,78.81168831168831,ICT,DEN,ICT_DEN,41,7,154,-0.8116883116883117,155,1.0903225806451613,69686.0,446.70512820512823,1,0,,0,,0,,0,,0,
40,IDA,12,498.0,48.0,30.0,41.5,41.5,41.5,IDA,SLC,IDA_SLC,3,1,12,4.416666666666667,12,2.4166666666666665,2135.0,177.91666666666666,0,0,,0,,0,,0,,0,
40,ILG,3,114.0,42.0,34.0,38.0,38.0,38.0,ILG,IAD,ILG_IAD,1,1,3,-4.666666666666667,3,-2.6666666666666665,444.0,111.0,1,0,,0,,0,,0,,0,
40,ILM,47,2149.0,69.0,35.0,44.0,45.723404255319146,45.723404255319146,ILM,CLT,ILM_CLT,13,2,47,3.0425531914893615,47,0.8723404255319149,9154.0,194.7659574468085,0,0,,0,,0,,0,,0,
40,IND,373,30160.0,266.0,27.0,69.0,80.85790884718499,80.85790884718499,IND,ORD,IND_ORD,99,9,373,4.828418230563003,373,7.831099195710456,168475.0,441.0340314136126,9,0,,0,,0,,0,,0,
40,ISO,16,868.0,69.0,47.0,53.5,54.25,54.25,ISO,['BWI' 'CLT'],['ISO_BWI' 'ISO_CLT'],4,1,16,7.4375,16,5.1875,3672.0,229.5,0,0,,0,,0,,0,,0,
