Year,week_number,Total_Flights
2008,3,1245
2008,4,1395
2008,5,1229
2008,6,1336
2008,7,1392
2008,8,1451
2008,9,1378
2008,10,1381
2008,11,1412
2008,12,1365
2008,13,1402
2008,14,1387
2008,15,1366
2008,16,1523
2008,17,1408
2008,18,1396
2008,19,1422
2008,20,1453
2008,21,1471
2008,22,1470
2008,23,1417
2008,24,1430
2008,25,1452
2008,26,1443
2008,27,1375
2008,28,1438
2008,29,1504
2008,30,1386
2008,31,1460
2008,32,1394
2008,33,1443
2008,34,1411
2008,35,1329
2008,36,1245
2008,37,1224
2008,38,1292
2008,39,1275
2008,40,1239
2008,41,1294
2008,42,1243
2008,43,1253
2008,44,1311
2008,45,1264
2008,46,1205
2008,47,1272
2008,48,1191
2008,49,1237
2008,50,1234
2008,51,1166
2008,52,1190
2009,1,706
2009,2,1151
2009,3,1156
2009,4,1238
2009,5,1133
2009,6,1227
2009,7,1231
2009,8,1289
2009,9,1179
2009,10,1288
2009,11,1258
2009,12,1288
2009,13,1303
2009,14,1280
2009,15,1286
2009,16,1235
2009,17,1257
2009,18,1282
2009,19,1278
2009,20,1269
2009,21,1239
2009,22,1299
2009,23,1285
2009,24,1321
2009,25,1284
2009,26,1311
2009,27,1278
2009,28,1362
2009,29,1314
2009,30,1339
2009,31,1286
2009,32,1323
2009,33,1318
2009,34,1276
2009,35,1274
2009,36,1227
2009,37,1220
2009,38,1241
2009,39,1205
2009,40,1162
2009,41,1230
2009,42,1295
2009,43,1180
2009,44,1220
2009,45,1251
2009,46,1304
2009,47,1235
2009,48,1173
2009,49,1219
2009,50,1176
2009,51,1187
2009,52,1190
2009,53,672
2010,1,1181
2010,2,1259
2010,3,1212
2010,4,1131
2010,5,1125
2010,6,1082
2010,7,1285
2010,8,1217
2010,9,1235
2010,10,1197
2010,11,1304
2010,12,1273
2010,13,1278
2010,14,1237
2010,15,1242
2010,16,1312
2010,17,1219
2010,18,1224
2010,19,1221
2010,20,1282
2010,21,1243
2010,22,1292
2010,23,1260
2010,24,1317
2010,25,1282
2010,26,1244
2010,27,1298
2010,28,1263
2010,29,1259
2010,30,1339
2010,31,1345
2010,32,1372
2010,33,1293
2010,34,1289
2010,35,1266
2010,36,1391
2010,37,1243
2010,38,1223
2010,39,1182
2010,40,1278
2010,41,1254
2010,42,1241
2010,43,1260
2010,44,1254
2010,45,1246
2010,46,1324
2010,47,1210
2010,48,1203
2010,49,1206
2010,50,1210
2010,51,1151
2010,52,850
2010,53,511
2011,1,1176
2011,2,1091
2011,3,1147
2011,4,1053
2011,5,978
2011,6,1116
2011,7,1134
2011,8,1092
2011,9,1214
2011,10,1240
2011,11,1184
2011,12,1172
2011,13,1177
2011,14,1200
2011,15,1257
2011,16,1211
2011,17,1196
2011,18,1210
2011,19,1196
2011,20,1168
2011,21,1076
2011,22,1203
2011,23,1212
2011,24,1249
2011,25,1261
2011,26,1191
2011,27,1262
2011,28,1288
2011,29,1243
2011,30,1309
2011,31,1296
2011,32,1282
2011,33,1294
2011,34,1181
2011,35,1106
2011,36,1206
2011,37,1145
2011,38,1206
2011,39,1099
2011,40,1210
2011,41,1145
2011,42,1118
2011,43,1155
2011,44,1134
2011,45,1172
2011,46,1146
2011,47,1090
2011,48,1155
2011,49,1106
2011,50,1132
2011,51,1121
2011,52,1310
2012,1,1277
2012,2,1123
2012,3,1125
2012,4,1139
2012,5,1147
2012,6,1115
2012,7,1139
2012,8,1147
2012,9,1179
2012,10,1225
2012,11,1165
2012,12,1164
2012,13,1258
2012,14,1194
2012,15,1213
2012,16,1235
2012,17,1241
2012,18,1247
2012,19,1166
2012,20,1172
2012,21,1132
2012,22,1146
2012,23,1156
2012,24,1286
2012,25,1225
2012,26,1273
2012,27,1190
2012,28,1278
2012,29,1254
2012,30,1282
2012,31,1222
2012,32,1271
2012,33,1242
2012,34,1154
2012,35,1065
2012,36,1251
2012,37,1182
2012,38,1153
2012,39,1160
2012,40,1253
2012,41,1191
2012,42,1220
2012,43,1183
2012,44,1048
2012,45,1179
2012,46,1205
2012,47,1103
2012,48,1153
2012,49,1178
2012,50,1187
2012,51,1199
2012,52,1199
2013,1,1370
2013,2,1217
2013,3,1140
2013,4,1116
2013,5,1132
2013,6,1113
2013,7,1195
2013,8,1174
2013,9,1219
2013,10,1263
2013,11,1296
2013,12,1228
2013,13,1255
2013,14,1328
2013,15,1253
2013,16,1242
2013,17,1331
2013,18,1285
2013,19,1312
2013,20,1273
2013,21,1198
2013,22,1206
2013,23,1311
2013,24,1340
2013,25,1342
2013,26,1349
2013,27,1221
