Origin,start_lat,start_lon,Dest,end_lat,end_lon,Total
AVP,41.33850098,-75.7233963,PHL,39.87189865,-75.2410965,91
AVP,41.33850098,-75.7233963,PIT,40.49150085,-80.23290253,272
AZO,42.23490143,-85.55210114,DAY,39.90240097,-84.2193985,345
AZO,42.23490143,-85.55210114,DTW,42.21239853,-83.35340118,314
AZO,42.23490143,-85.55210114,LAN,42.77870178,-84.58740234,163
AZO,42.23490143,-85.55210114,MSP,44.882,-93.221802,172
AZO,42.23490143,-85.55210114,SBN,41.70869827,-86.31729889,3
BDL,41.93889999,-72.68319702,ALB,42.74829865,-73.80169678,69
BDL,41.93889999,-72.68319702,ATL,33.6367,-84.428101,607
BDL,41.93889999,-72.68319702,BOS,42.36429977,-71.00520325,281
BDL,41.93889999,-72.68319702,BTV,44.47190094,-73.15329742,25
BDL,41.93889999,-72.68319702,BUF,42.94049835,-78.73220062,162
BDL,41.93889999,-72.68319702,BWI,39.1754,-76.668297,429
BDL,41.93889999,-72.68319702,CVG,39.04880142,-84.6678009,178
BDL,41.93889999,-72.68319702,DCA,38.8521,-77.037697,329
BDL,41.93889999,-72.68319702,DEN,39.86169815,-104.6729965,171
BDL,41.93889999,-72.68319702,DFW,32.896801,-97.038002,180
BDL,41.93889999,-72.68319702,DTW,42.21239853,-83.35340118,419
BDL,41.93889999,-72.68319702,EWR,40.69250107,-74.16870117,591
BDL,41.93889999,-72.68319702,FLL,26.072599,-80.152702,118
BDL,41.93889999,-72.68319702,IAD,38.94449997,-77.45580292,538
BDL,41.93889999,-72.68319702,ISP,40.79520035,-73.10019684,56
BDL,41.93889999,-72.68319702,JFK,40.63980103,-73.77890015,92
BDL,41.93889999,-72.68319702,MCO,28.42939949,-81.30899811,176
BDL,41.93889999,-72.68319702,MSP,44.882,-93.221802,150
BDL,41.93889999,-72.68319702,ORD,41.9786,-87.9048,922
BDL,41.93889999,-72.68319702,PBI,26.68320084,-80.09559631,18
BDL,41.93889999,-72.68319702,PHL,39.87189865,-75.2410965,609
BDL,41.93889999,-72.68319702,PIT,40.49150085,-80.23290253,528
BDL,41.93889999,-72.68319702,PVD,41.732601,-71.420403,86
BDL,41.93889999,-72.68319702,RDU,35.87760162,-78.78749847,267
BDL,41.93889999,-72.68319702,SJU,18.43939972,-66.00180054,88
BDL,41.93889999,-72.68319702,STL,38.748697,-90.370003,248
BDL,41.93889999,-72.68319702,SYR,43.11119843,-76.10630035,248
BDL,41.93889999,-72.68319702,TPA,27.97550011,-82.53320313,91
BET,60.77980042,-161.8379974,ANC,61.17440033,-149.9960022,131
BFL,35.43360138,-119.0569992,BUR,34.20069885,-118.3590012,90
BFL,35.43360138,-119.0569992,DEN,39.86169815,-104.6729965,28
BFL,35.43360138,-119.0569992,DFW,32.896801,-97.038002,88
BFL,35.43360138,-119.0569992,FAT,36.77619934,-119.7180023,30
BFL,35.43360138,-119.0569992,LAX,33.94250107,-118.4079971,30
BFL,35.43360138,-119.0569992,MRY,36.5870018,-121.8430023,29
BFL,35.43360138,-119.0569992,SBA,34.42620087,-119.8399963,261
BFL,35.43360138,-119.0569992,SFO,37.61899948,-122.375,52
BGM,42.20869827,-75.97979736,BWI,39.1754,-76.668297,92
BGM,42.20869827,-75.97979736,ELM,42.15990067,-76.89160156,92
BGM,42.20869827,-75.97979736,ITH,42.49100113,-76.45839691,92
BGM,42.20869827,-75.97979736,PIT,40.49150085,-80.23290253,269
BGR,44.80739975,-68.82810211,BOS,42.36429977,-71.00520325,355
BGR,44.80739975,-68.82810211,MHT,42.932598,-71.435699,62
BGR,44.80739975,-68.82810211,ORD,41.9786,-87.9048,29
BGR,44.80739975,-68.82810211,PWM,43.64619827,-70.30930328,90
BHM,33.56290054,-86.75350189,ATL,33.6367,-84.428101,1285
BHM,33.56290054,-86.75350189,BNA,36.12450027,-86.67819977,677
BHM,33.56290054,-86.75350189,CLT,35.2140007,-80.94309998,353
BHM,33.56290054,-86.75350189,CVG,39.04880142,-84.6678009,79
BHM,33.56290054,-86.75350189,DFW,32.896801,-97.038002,451
BHM,33.56290054,-86.75350189,HOU,29.64539909,-95.27890015,83
BHM,33.56290054,-86.75350189,HSV,34.6371994,-86.77510071,290
BHM,33.56290054,-86.75350189,JAN,32.31119919,-90.07589722,108
BHM,33.56290054,-86.75350189,MEM,35.04240036,-89.97669983,506
BHM,33.56290054,-86.75350189,MGM,32.30059814,-86.39399719,90
BHM,33.56290054,-86.75350189,MOB,30.69120026,-88.24279785,1
BHM,33.56290054,-86.75350189,MSY,29.99340057,-90.25800323,362
BHM,33.56290054,-86.75350189,ORD,41.9786,-87.9048,176
BHM,33.56290054,-86.75350189,PNS,30.47340012,-87.18659973,89
BHM,33.56290054,-86.75350189,SHV,32.446602,-93.8256,75
BIL,45.80770111,-108.5429993,BZN,45.77750015,-111.1529999,83
BIL,45.80770111,-108.5429993,DEN,39.86169815,-104.6729965,564
BIL,45.80770111,-108.5429993,GEG,47.61989975,-117.5339966,81
BIL,45.80770111,-108.5429993,GTF,47.48199844,-111.3710022,349
